fullNameForSearch,position,archetype,yearsPro,overall,speed,acceleration,agility,changeOfDirection,strength,jumping,awareness,breakTackle,carrying,jukeMove,spinMove,stiffArm,trucking,bCVision,kickReturn,throwPower,throwAccuracyShort,throwAccuracyMid,throwAccuracyDeep,throwOnTheRun,throwUnderPressure,playAction,breakSack,catching,catchInTraffic,spectacularCatch,shortRouteRunning,mediumRouteRunning,deepRouteRunning,release,passBlock,passBlockPower,passBlockFinesse,runBlock,runBlockPower,runBlockFinesse,leadBlock,impactBlocking,tackle,hitPower,pursuit,playRecognition,powerMoves,finesseMoves,blockShedding,manCoverage,zoneCoverage,press,kickPower,kickAccuracy,stamina,injury,toughness,jerseyNum,plyrHandedness,team,teamId,college,plyrPortrait,totalSalary,signingBonus,primaryKey,plyrAssetname
Henry To'oTo'o,MLB,MLB_RunStopper,0,66,85,92,81,73,65,78,72,59,57,66,62,64,59,67,44,30,6,6,6,6,11,6,10,55,54,55,22,18,13,23,35,35,35,35,35,35,31,64,75,80,84,70,48,54,66,65,58,57,32,31,86,89,84,39,Right,Texans,32,Alabama,2431,"$3,830,000 ","$240,000 ",22998,TooTooHenry_22998
Thomas Booker IV,DT,DT_RunStopper,1,66,74,82,73,66,85,72,62,35,40,32,28,40,33,42,10,18,6,6,6,6,10,6,12,39,35,36,30,25,22,25,45,45,45,45,45,45,34,82,78,79,78,64,63,51,67,15,14,16,15,11,76,91,83,56,Right,Texans,32,Stanford,1182,"$3,670,000 ","$320,000 ",22173,BookerThomas_22173
Brandon Hill,FS,S_Hybrid,0,65,91,95,87,90,55,85,60,57,54,74,65,45,41,68,55,26,6,6,6,6,14,6,10,60,52,55,34,31,27,25,25,25,25,30,30,30,16,48,67,87,63,57,26,37,53,62,66,69,23,19,88,88,85,36,Right,Texans,32,Pittsburgh,2210,"$3,830,000 ","$80,000 ",23094,HillBrandon_23094
Byron Cowart,DT,DT_RunStopper,4,65,66,68,62,59,85,74,63,24,26,31,21,34,32,33,10,20,9,9,9,9,17,9,12,40,18,15,15,8,4,15,45,45,45,45,45,45,18,83,77,80,76,66,67,69,72,21,28,25,16,12,68,83,80,90,Right,Texans,32,Maryland,9423,"$940,000 ",$0 ,20440,CowartByron_20440
Greg Little,LT,OT_Agile,4,65,61,67,59,52,84,72,76,8,27,18,14,26,27,14,8,21,6,6,6,6,13,6,12,32,26,22,21,13,7,18,67,67,68,71,68,74,79,79,29,42,33,26,33,26,38,11,17,12,19,28,82,81,88,74,Right,Texans,32,Ole Miss,9552,"$940,000 ","$100,000 ",20533,LittleGreg_20533
Case Keenum,QB,QB_FieldGeneral,11,64,76,72,72,72,54,78,61,54,61,53,57,23,36,65,10,85,85,78,77,79,78,79,77,33,10,10,10,10,10,15,21,27,20,17,10,10,15,25,14,12,24,22,10,10,22,10,12,10,22,24,74,84,76,18,Right,Texans,32,Houston,5294,"$2,500,000 ","$3,760,000 ",11222,KeenumCase_11222
Charlie Heck,LT,OT_Agile,3,64,67,70,54,52,84,70,77,26,30,34,24,22,30,25,10,12,6,6,6,6,14,6,12,35,20,25,25,22,21,19,68,66,70,67,64,69,83,80,36,40,38,13,33,22,35,12,16,10,10,12,86,88,93,67,Right,Texans,32,North Carolina,341,"$3,300,000 ","$710,000 ",21111,HeckCharlie_21111
Grayland Arnold,SS,S_Zone,3,64,86,88,86,84,54,80,65,54,63,76,68,35,31,70,76,47,38,34,28,41,35,29,50,69,58,64,32,25,15,12,35,35,35,35,35,35,10,50,62,71,72,63,28,37,47,64,68,65,10,11,84,77,79,25,Left,Texans,32,Baylor,79,"$1,010,000 ",$0 ,21008,ArnoldGrayland_21008
Jake Hansen,MLB,MLB_RunStopper,1,63,81,85,76,72,71,74,65,43,64,43,35,50,42,48,10,24,6,6,6,6,10,6,12,61,60,57,24,14,6,18,45,45,45,45,45,45,27,67,83,79,76,69,55,47,63,40,55,49,14,10,82,78,94,35,Right,Texans,32,Illinois,1754,"$2,560,000 ","$10,000 ",21498,HansenJake_21498
Jalen Camp,WR,WR_Physical,2,63,89,92,83,82,73,89,63,68,74,71,65,56,61,71,55,29,15,10,10,10,19,15,22,80,80,79,65,63,59,63,41,30,28,52,39,34,31,51,32,28,33,16,10,10,36,14,19,21,43,39,81,86,77,17,Right,Texans,32,Georgia Tech,1220,"$1,990,000 ",$0 ,21739,CampJalen_21739
Jarrett Patterson,RG,G_PassProtector,0,63,61,71,54,52,83,73,74,14,24,23,17,26,27,22,10,27,5,5,5,5,7,5,11,33,28,24,21,11,7,18,71,75,67,66,61,71,71,73,31,37,25,18,30,20,27,10,9,10,21,15,85,86,88,68,Right,Texans,32,Notre Dame,2348,"$3,830,000 ","$160,000 ",22874,PattersonJarrett_22874
Scott Quessenberry,C,C_Agile,5,63,68,73,66,51,83,81,77,7,24,10,10,30,20,10,10,23,6,6,6,6,14,6,12,27,15,15,15,5,5,15,63,62,64,69,66,72,81,76,30,20,22,15,10,10,20,12,15,10,17,12,82,90,86,54,Right,Texans,32,UCLA,9029,"$2,450,000 ","$550,000 ",13253,QuessenberryScott_13253
Teagan Quitoriano,TE,TE_Possession,1,63,74,74,73,66,78,78,63,61,75,60,55,65,67,64,15,25,15,10,6,10,9,6,18,76,79,78,66,61,52,60,56,56,55,58,59,52,50,68,46,43,45,36,38,32,44,10,12,10,24,19,83,91,82,84,Right,Texans,32,Oregon State,1900,"$3,670,000 ","$280,000 ",22349,QuitorianoTeagan_22349
Quenton Nelson,LG,G_Power,5,92,64,67,68,59,97,67,95,11,35,12,10,10,37,16,10,27,6,6,6,6,15,6,12,19,10,12,10,10,10,12,87,89,85,91,91,91,95,91,34,28,36,18,10,10,27,9,10,10,21,15,90,95,91,56,Left,Colts,10,Notre Dame,9002,"$63,560,000 ","$31,000,000 ",13081,NelsonQuenton_13081
Jonathan Taylor,HB,HB_PowerBack,3,89,94,93,87,87,82,84,88,92,92,91,83,92,87,91,45,29,25,20,15,17,15,14,28,71,54,56,62,55,48,51,51,29,24,34,27,24,32,37,27,25,33,13,10,10,25,12,19,14,17,15,96,94,92,28,Right,Colts,10,Wisconsin,604,"$6,740,000 ","$3,710,000 ",20928,TaylorJonathan_20928
DeForest Buckner,DT,DT_RunStopper,7,86,72,76,82,66,90,80,87,13,44,28,23,33,45,38,11,22,6,6,6,6,17,6,12,40,18,21,14,6,3,17,46,46,44,45,44,45,38,88,89,87,92,86,76,82,85,33,42,22,20,19,88,95,92,99,Right,Colts,10,Oregon,7920,"$47,000,000 ","$49,380,000 ",17542,BucknerDeForest_17542
Shaquille Leonard,LOLB,OLB_RunStopper,5,86,85,88,83,78,78,90,84,36,58,56,46,63,36,48,10,19,6,6,6,6,13,6,12,76,52,51,15,5,5,15,45,45,45,45,45,45,25,85,94,86,93,87,59,64,78,62,64,49,21,15,91,87,89,53,Right,Colts,10,S.C. State,8971,"$81,880,000 ","$20,840,000 ",13130,LeonardDarius_13130
Grover Stewart,DT,DT_RunStopper,6,85,66,74,59,50,91,66,89,12,26,20,16,29,34,25,10,19,6,6,6,6,10,6,12,30,22,17,13,5,3,12,45,45,45,45,45,45,36,86,88,75,88,92,74,59,86,22,35,10,15,15,82,93,92,90,Right,Colts,10,N/A,9293,"$27,140,000 ","$5,860,000 ",12835,StewartGrover_12835
Michael Pittman Jr,WR,WR_Physical,3,85,88,89,85,84,71,95,88,78,71,77,71,75,68,83,76,48,39,33,28,39,29,28,31,93,93,93,83,82,78,85,43,35,30,55,38,32,37,51,55,42,40,16,10,10,41,14,20,20,22,15,91,88,92,11,Right,Colts,10,USC,532,"$5,490,000 ","$4,340,000 ",21081,PittmanJrMichael_21081
Kenny Moore II,CB,CB_Slot,6,84,89,92,89,90,61,94,88,51,53,75,71,48,53,48,72,17,6,6,6,6,10,6,11,72,61,78,38,28,21,40,25,35,35,25,35,35,18,61,65,64,80,91,43,56,60,82,86,77,21,24,93,91,77,23,Right,Colts,10,Valdosta St.,9244,"$25,440,000 ","$8,500,000 ",12965,MooreIIKenny_12965
Braden Smith,RT,OT_Power,5,82,65,70,59,54,92,81,91,8,29,10,10,15,29,17,15,22,6,6,6,6,15,6,12,19,10,12,10,5,5,15,81,83,79,87,84,90,84,82,55,62,27,22,20,10,20,10,17,10,14,14,90,87,93,72,Left,Colts,10,Auburn,9060,"$57,430,000 ","$12,830,000 ",13124,SmithBraden_13124
Matt Gay,K,KP_Power,4,80,67,70,59,53,41,68,66,16,40,10,10,10,10,10,10,27,35,30,25,20,24,20,21,30,15,15,15,15,15,15,16,16,16,21,17,17,16,21,13,12,15,10,10,10,13,12,12,10,96,89,87,86,60,7,Right,Colts,10,Utah,9469,"$10,300,000 ","$12,200,000 ",20715,GayMatt_20715
Isaiah Rodgers Sr,CB,CB_Zone,3,79,94,93,90,89,50,92,77,49,56,82,73,42,34,75,87,26,15,10,10,15,15,15,10,70,54,68,38,33,27,22,25,35,35,25,35,35,17,48,59,54,74,76,36,42,55,74,81,71,44,34,90,87,80,34,Right,Colts,10,Massachusetts,1513,"$5,030,000 ","$150,000 ",24432,RodgersIsaiah_24432
Isaiah McKenzie,WR,WR_Playmaker,6,77,92,93,93,89,53,86,74,75,72,90,84,35,24,81,83,38,27,20,15,24,22,15,23,83,76,79,75,75,75,73,34,18,19,34,17,12,23,43,22,16,33,20,10,10,22,15,24,15,21,20,80,89,76,6,Right,Colts,10,Georgia,8659,"$690,000 ","$400,000 ",12702,McKenzieIsaiah_12702
Kwity Paye,LE,DE_PowerRusher,2,77,85,86,88,74,86,85,72,38,57,45,41,48,53,53,10,25,6,6,6,6,10,6,12,46,22,25,29,23,20,28,45,45,45,45,45,45,26,86,85,82,83,72,76,62,78,25,36,29,20,18,84,88,84,51,Right,Colts,10,Michigan,1056,"$6,360,000 ","$7,280,000 ",21884,PayeKwity_21884
Ryan Kelly,C,C_Power,7,77,69,71,67,58,85,74,90,7,25,20,16,24,29,26,9,24,6,6,6,6,12,6,12,29,19,15,13,5,5,15,79,81,77,78,79,77,80,82,32,38,31,19,12,13,26,12,14,8,20,20,89,92,90,78,Right,Colts,10,Alabama,8094,"$36,160,000 ","$23,850,000 ",17679,KellyRyan_17679
Rigoberto Sanchez,P,KP_Power,6,76,71,73,64,52,51,59,63,14,47,10,19,16,21,28,10,39,37,32,26,26,18,18,21,38,18,14,12,12,12,12,20,19,17,20,18,18,16,22,29,33,24,24,10,10,28,18,26,13,91,85,85,85,69,8,Right,Colts,10,Hawaii,9282,"$8,250,000 ","$4,000,000 ",12930,SanchezRigoberto_12930
Samson Ebukam,RE,DE_SmallerSpeedRusher,6,76,85,89,80,68,83,87,71,26,41,57,48,35,52,46,10,25,6,6,6,6,15,6,12,52,42,43,23,13,7,17,45,45,45,45,45,45,21,81,83,83,81,68,64,77,74,48,61,36,20,20,82,95,87,52,Right,Colts,10,Eastern Wash.,9177,"$10,240,000 ","$13,740,000 ",12834,EbukamSamson_12834
Julian Blackmon,FS,S_Zone,3,75,90,90,89,86,57,87,78,51,52,74,62,40,40,66,30,21,6,6,6,6,18,6,11,63,60,68,44,31,26,30,25,35,35,25,35,35,11,52,67,73,76,76,29,37,52,71,73,67,22,15,87,82,82,32,Right,Colts,10,Utah,97,"$5,200,000 ","$920,000 ",21269,BlackmonJulian_21269
Alec Pierce,WR,WR_DeepThreat,1,74,92,94,79,83,62,92,75,70,75,73,68,50,40,75,65,26,15,10,10,15,19,15,20,82,84,85,74,76,77,72,35,24,28,44,25,32,26,45,29,24,35,26,10,10,29,23,27,20,19,16,83,87,84,14,Left,Colts,10,Cincinnati,1890,"$4,600,000 ","$2,000,000 ",22085,PierceAlec_22085
Bernhard Raimann,LT,OT_Agile,1,74,71,80,72,60,90,75,77,33,50,29,24,37,34,46,10,22,12,10,9,15,12,6,17,46,45,43,32,26,21,33,75,75,75,76,71,81,84,86,33,23,34,15,10,10,27,14,16,10,33,31,87,90,83,79,Right,Colts,10,Central Michigan,1903,"$4,260,000 ","$1,040,000 ",22132,RaimannBernhard_22132
Julius Brents,CB,CB_Zone,0,74,88,95,94,89,52,96,68,61,61,73,65,70,48,65,49,22,24,18,15,14,16,15,15,64,60,67,20,10,10,15,35,35,35,35,35,35,22,51,65,66,73,66,41,47,47,68,76,81,21,15,88,93,86,29,Right,Colts,10,Kansas State,1759,"$5,010,000 ","$3,120,000 ",23062,BrentsJulius_23062
Mo Alie-Cox,TE,TE_Possession,5,73,80,81,74,65,70,87,75,62,72,62,54,64,66,63,10,25,15,10,6,10,14,6,18,83,82,84,69,65,64,72,61,60,57,64,64,60,54,65,28,12,25,21,10,10,19,10,13,10,19,14,86,89,86,81,Right,Colts,10,Virginia Commonwealth,9697,"$8,710,000 ","$8,840,000 ",13872,AlieCoxMo_13872
Zaire Franklin,ROLB,OLB_RunStopper,5,73,84,90,81,73,80,88,72,21,52,48,36,34,37,41,10,22,6,6,6,6,12,6,12,61,48,43,10,6,5,20,45,45,45,45,45,45,19,78,83,80,86,71,55,62,66,53,61,43,20,20,92,93,89,44,Right,Colts,10,Syracuse,9777,"$8,970,000 ","$1,020,000 ",13480,FranklinZaire_13480
Ashton Dulin,WR,WR_DeepThreat,4,72,93,92,89,82,61,88,73,73,74,78,74,49,47,80,79,35,22,16,12,21,20,16,20,83,80,79,72,71,74,71,33,26,22,45,28,25,23,44,41,27,43,15,10,10,28,10,18,15,18,14,85,91,83,16,Right,Colts,10,Malone University,9444,"$3,590,000 ","$3,580,000 ",20649,DulinAshton_20649
Dayo Odeyingbo,LE,DE_SmallerSpeedRusher,2,72,80,85,79,65,84,83,68,28,44,36,29,36,36,44,10,26,6,6,6,6,13,6,12,45,29,31,26,19,14,24,45,45,45,45,45,45,17,83,80,81,79,65,67,75,72,23,35,22,15,15,75,89,87,54,Right,Colts,10,Vanderbilt,799,"$4,330,000 ","$1,840,000 ",21692,OdeyingboDayo_21692
Tyquan Lewis,LE,DE_PowerRusher,5,72,81,88,76,67,83,85,69,25,28,29,21,28,26,36,10,20,6,6,6,6,15,6,13,33,27,24,15,8,4,13,45,45,45,45,45,45,17,78,78,81,81,70,74,61,74,29,38,21,17,13,76,82,88,94,Right,Colts,10,Ohio State,8973,"$1,080,000 ","$420,000 ",13232,LewisTyquan_13232
Zack Moss,HB,HB_PowerBack,3,72,86,87,85,80,77,81,72,83,91,80,78,81,84,81,35,33,25,20,15,16,14,13,33,68,52,51,60,50,39,51,53,39,35,40,34,29,46,48,34,28,41,31,16,15,33,21,28,23,21,16,85,85,89,21,Right,Colts,10,Utah,474,"$1,690,000 ","$30,000 ",21332,MossZack_21332
Josh Downs,WR,WR_Slot,0,71,90,93,91,90,51,91,60,70,74,73,68,38,33,80,74,54,46,40,39,43,33,35,34,84,82,83,77,74,73,61,25,17,15,44,18,25,19,34,22,19,27,15,10,10,22,10,10,10,27,25,86,90,86,1,Right,Colts,10,North Carolina,2117,"$4,500,000 ","$1,000,000 ",22763,DownsJosh_22763
Nick Cross,SS,S_Zone,1,71,92,96,87,82,67,88,65,52,54,67,59,45,48,65,40,26,22,14,12,15,9,8,17,71,59,67,20,18,16,25,35,35,35,35,35,35,22,52,67,84,67,66,29,35,51,64,74,71,25,23,88,91,83,20,Right,Colts,10,Maryland,1319,"$4,190,000 ","$880,000 ",22398,CrossNick_22398
Anthony Richardson,QB,QB_StrongArm,0,70,91,92,88,87,73,93,68,78,57,78,75,79,78,89,20,95,76,75,76,72,73,86,80,39,17,19,20,16,13,17,16,20,15,25,20,23,28,34,33,26,29,17,10,10,27,11,17,10,22,17,74,90,90,5,Right,Colts,10,Florida,2609,"$3,660,000 ","$29,780,000 ",22689,RichardsonAnthony_22689
Breshad Perriman,WR,WR_DeepThreat,8,70,92,91,80,75,68,86,72,70,68,82,75,60,59,76,60,36,20,20,15,10,20,10,24,80,77,82,72,74,76,72,33,18,17,33,27,21,33,52,29,15,35,15,15,20,40,15,20,20,24,21,77,75,74,9,Right,Colts,10,UCF,7274,"$940,000 ",$0 ,2440,PerrimanBreshad_2440
E.J. Speed,LOLB,OLB_RunStopper,4,70,86,89,84,74,74,82,71,52,66,70,61,33,26,60,60,24,6,6,6,6,15,6,12,66,66,64,41,32,27,40,45,45,45,45,45,45,23,70,79,83,84,70,53,61,64,54,63,37,18,16,85,89,81,45,Right,Colts,10,Tarleton State,158,"$5,080,000 ","$2,920,000 ",20730,SpeedEJ_20730
Jelani Woods,TE,TE_VerticalThreat,1,70,85,87,84,73,78,89,62,67,72,71,65,72,71,74,15,79,67,61,62,66,53,58,66,78,77,82,65,63,61,64,61,59,61,63,61,63,59,62,38,37,40,15,15,20,35,12,20,35,15,14,85,90,85,80,Right,Colts,10,Virginia,2050,"$4,290,000 ","$1,080,000 ",22351,WoodsJelani_22351
Pharaoh Brown,TE,TE_Possession,6,70,77,79,75,67,75,83,73,66,74,74,66,69,62,70,15,25,15,10,6,10,10,6,15,82,77,76,66,62,57,67,62,62,58,65,61,64,56,70,35,39,33,18,20,27,26,12,17,15,24,19,86,86,71,49,Right,Colts,10,Oregon,8493,"$940,000 ",$0 ,12673,BrownPharaoh_12673
Rodney Thomas II,FS,S_Zone,1,70,89,92,83,87,61,94,69,47,57,65,59,41,40,57,37,24,22,15,13,24,15,22,26,71,52,63,30,26,20,23,35,35,35,35,35,35,16,52,68,67,77,67,36,44,55,63,68,66,13,14,88,91,78,25,Right,Colts,10,Yale,2645,"$3,670,000 ","$80,000 ",22492,ThomasRodney_22492
Taven Bryan,DT,DT_RunStopper,5,70,77,80,76,63,88,84,67,33,37,32,26,37,53,34,10,22,13,10,7,7,15,8,13,31,23,18,10,5,3,12,45,45,45,45,45,45,30,87,80,85,80,68,72,60,68,22,29,20,18,13,75,94,94,96,Right,Colts,10,Florida,8828,"$480,000 ","$3,000,000 ",13096,BryanTaven_13096
Blake Freeland,RT,OT_Agile,0,69,73,81,72,55,83,87,67,49,57,44,40,55,51,52,15,54,48,46,39,43,35,42,52,53,53,54,51,48,45,57,75,72,78,72,68,76,66,77,47,58,51,10,55,44,47,14,15,10,21,23,84,90,85,73,Right,Colts,10,BYU,2146,"$3,830,000 ","$800,000 ",22851,FreelandBlake_22851
Darius Rush,CB,CB_MantoMan,0,69,93,93,85,81,53,84,60,66,63,72,66,45,48,71,72,50,43,41,38,52,31,41,41,72,67,71,52,49,46,55,25,25,25,35,35,35,25,51,49,68,69,60,40,45,46,70,69,77,20,15,89,91,80,30,Right,Colts,10,South Carolina,2378,"$3,830,000 ","$360,000 ",23043,RushDarius_23043
Tony Brown,CB,CB_MantoMan,5,69,93,92,89,86,58,77,64,44,61,73,63,31,28,52,45,35,6,6,6,6,17,6,17,52,28,60,25,15,11,33,35,35,35,35,35,35,17,47,49,51,68,67,37,44,47,70,72,69,18,12,87,89,81,38,Right,Colts,10,Alabama,8827,"$590,000 ","$500,000 ",13380,BrownTony_13380
Daniel Scott,SS,S_Hybrid,0,68,91,93,91,86,67,93,64,55,60,72,65,45,42,67,55,35,34,28,24,27,17,16,17,70,61,68,45,41,39,48,30,30,30,35,35,35,20,49,61,67,65,60,47,55,47,70,68,67,25,21,88,91,79,31,Right,Colts,10,California,2385,"$3,830,000 ","$320,000 ",23085,ScottDaniel_23085
Henry Black,FS,S_RunSupport,3,68,88,90,84,83,65,81,66,46,63,71,68,40,35,63,30,25,6,6,6,6,18,6,14,68,53,61,33,29,24,30,35,35,35,35,35,35,12,64,66,83,78,68,32,39,54,66,68,68,18,14,88,89,83,36,Right,Colts,10,Baylor,1398,"$940,000 ",$0 ,21443,BlackHenry_21443
Kylen Granson,TE,TE_VerticalThreat,2,68,85,89,82,76,69,87,66,65,74,71,64,70,72,76,33,27,15,10,5,10,10,7,20,79,75,77,63,58,56,67,60,59,56,59,55,59,54,63,38,29,41,20,10,10,37,11,19,16,20,17,84,92,83,83,Right,Colts,10,SMU,1383,"$3,490,000 ","$700,000 ",21624,GransonKylen_21624
Malik Turner,WR,WR_Playmaker,5,68,88,90,85,82,65,84,60,76,71,81,76,53,49,79,67,31,22,19,15,22,19,16,26,80,77,80,71,73,70,70,37,30,29,57,35,30,30,45,44,41,46,25,10,10,44,20,25,15,18,15,82,84,77,12,Right,Colts,10,Illinois,164,"$940,000 ",$0 ,13911,TurnerMalik_13911
Gardner Minshew II,QB,QB_Scrambler,4,67,78,83,79,76,62,81,68,57,60,62,52,33,34,74,13,85,83,77,78,82,80,83,81,26,16,15,15,14,12,15,15,18,14,23,22,16,14,25,31,31,32,16,10,10,24,13,12,10,20,16,80,92,95,10,Right,Colts,10,Wash. St.,9575,"$500,000 ","$3,000,000 ",20347,MinshewIIGardner_20347
Juwann Winfree,WR,WR_Slot,4,67,88,87,85,83,65,80,66,70,72,74,73,56,55,78,50,25,15,10,6,10,17,6,18,79,80,82,74,73,70,68,27,20,17,39,22,16,18,41,31,32,41,25,10,10,33,18,26,17,18,13,81,85,77,8,Right,Colts,10,Colorado,173,"$1,010,000 ",$0 ,20736,WinfreeJuwann_20736
Kevin Toliver II,CB,CB_MantoMan,5,67,88,90,87,82,62,87,63,49,65,74,62,41,34,68,44,35,15,10,6,10,10,6,10,61,54,72,26,21,16,24,30,25,24,32,32,27,15,53,57,56,74,60,23,31,54,68,70,79,20,14,86,80,75,27,Right,Colts,10,LSU,9085,"$1,010,000 ",$0 ,13316,ToliverIIKevin_13316
Khalid Kareem,RE,DE_PowerRusher,3,67,79,84,72,61,84,82,65,13,39,25,19,26,29,22,10,18,6,6,6,6,10,6,12,37,19,18,14,7,3,12,45,45,45,45,45,45,11,77,74,80,78,62,70,58,71,19,28,19,18,13,77,85,81,55,Right,Colts,10,Notre Dame,709,"$1,010,000 ",$0 ,21283,KareemKhalid_21283
McTelvin Agim,RE,DE_PowerRusher,3,67,73,74,68,60,84,75,65,19,40,24,17,33,41,38,10,19,6,6,6,6,10,6,12,36,25,20,22,7,3,24,45,45,45,45,45,45,35,79,80,79,80,62,73,69,68,22,31,18,25,21,75,87,85,97,Right,Colts,10,Arkansas,69,"$940,000 ",$0 ,21118,AgimMcTelvin_21118
Vyncint Smith,WR,WR_DeepThreat,5,67,92,93,86,82,46,91,70,68,65,79,72,46,44,70,60,30,27,20,12,26,19,22,22,78,73,75,65,68,69,66,35,35,30,42,18,10,24,41,44,43,38,23,18,24,30,18,26,18,18,13,79,85,77,15,Right,Colts,10,Limestone College,9925,"$1,010,000 ",$0 ,13820,SmithVyncint_13820
Adetomiwa Adebawore,RE,DE_PowerRusher,0,66,89,92,79,73,84,88,63,12,35,41,37,32,33,24,10,21,14,10,6,7,5,7,15,30,24,26,13,6,5,14,40,40,40,45,45,45,25,79,66,79,78,62,67,60,67,19,25,24,25,21,75,92,88,95,Right,Colts,10,Northwestern,818,"$3,830,000 ","$800,000 ",22928,AdebaworeAdetomiwa_22928
Evan Hull,HB,HB_ElusiveBack,0,66,90,91,87,84,71,87,58,74,88,78,70,71,72,77,74,25,20,15,10,22,15,14,22,71,52,51,62,56,49,52,49,27,33,42,32,28,39,42,32,29,36,16,11,12,27,13,18,15,19,15,85,90,87,26,Right,Colts,10,Northwestern,2218,"$3,830,000 ","$240,000 ",23128,HullEvan_23128
Cameron McGrone,LOLB,OLB_RunStopper,2,65,88,91,81,66,69,82,57,24,60,35,33,31,32,35,10,15,6,6,6,6,14,6,12,56,51,47,15,5,5,25,45,45,45,45,45,45,28,65,78,74,80,67,45,56,64,53,58,47,14,12,81,80,75,59,Right,Colts,10,Michigan,1048,"$870,000 ",$0 ,21499,McGroneCameron_21499
Danny Pinter,RG,G_Agile,3,65,75,77,61,57,82,73,72,31,38,25,18,30,35,33,10,30,6,6,6,6,11,6,12,48,40,37,34,31,25,40,62,60,64,71,69,73,86,80,37,33,29,30,33,21,35,13,15,10,22,21,82,87,85,63,Right,Colts,10,Ball State,531,"$3,300,000 ","$350,000 ",21337,PinterDanny_21337
Jake Funk,HB,HB_ElusiveBack,2,65,89,91,84,87,69,85,61,73,86,77,73,69,73,74,60,28,20,15,11,18,12,15,21,62,42,43,53,44,39,45,50,36,29,34,28,23,33,38,42,40,45,24,21,17,37,19,28,22,20,15,80,83,82,37,Right,Colts,10,Maryland,1063,"$940,000 ",$0 ,21723,FunkJake_21723
Jaylon Jones,CB,CB_Zone,0,65,89,93,87,81,62,90,60,63,63,69,64,52,48,72,60,33,17,13,11,19,15,6,16,65,58,67,39,37,33,49,25,25,25,35,35,35,15,51,59,75,68,63,35,44,52,60,67,75,15,13,88,87,80,40,Right,Colts,10,Texas AM,2249,"$3,830,000 ","$120,000 ",23032,JonesJaylon_23032
Mike Strachan,WR,WR_Physical,2,65,88,91,85,75,72,85,68,70,74,71,65,52,50,76,45,25,20,15,10,12,17,10,18,81,79,81,68,67,62,68,29,25,20,45,28,23,21,40,28,22,30,17,10,10,32,11,18,23,14,17,81,90,80,17,Right,Colts,10,University of Charleston,1143,"$3,490,000 ","$100,000 ",21756,StrachanMike_21756
Titus Leo,RE,DE_SmallerSpeedRusher,0,65,83,91,74,73,69,82,59,38,45,55,45,50,44,44,10,24,7,6,5,7,15,6,12,55,45,49,17,13,7,17,45,45,45,45,45,45,25,60,69,79,78,53,67,72,59,25,35,35,20,20,82,89,77,91,Right,Colts,10,Wagner College,0,"$3,830,000 ","$120,000 ",23271,LeoTitus_23271
Will Fries,RG,G_Power,2,65,60,69,60,65,84,76,71,5,29,10,10,10,15,10,10,25,6,6,6,6,5,6,12,23,10,12,10,5,5,12,64,64,63,74,74,74,82,77,38,41,42,28,36,21,29,12,11,10,21,22,83,90,82,75,Right,Colts,10,Penn State,762,"$3,490,000 ","$80,000 ",21831,FriesWill_21831
Deon Jackson,HB,HB_ElusiveBack,2,64,91,93,79,75,66,86,68,78,82,76,69,68,72,77,69,43,41,36,30,35,27,21,32,70,62,58,58,53,43,50,53,36,31,34,31,26,38,42,25,31,24,20,10,10,27,15,18,15,17,13,81,92,82,35,Right,Colts,10,Duke,912,"$1,190,000 ",$0 ,21575,JacksonDeon_21575
Eric Johnson II,DT,DT_RunStopper,1,64,77,80,65,59,79,69,67,15,30,25,24,32,30,18,10,23,6,6,6,6,12,6,12,32,14,16,13,5,3,15,45,45,45,45,45,45,28,80,76,76,83,63,64,54,67,15,16,10,17,14,73,92,82,93,Right,Colts,10,Missouri State,2539,"$3,660,000 ","$320,000 ",22497,JohnsonEric_22497
Grant Stuard,ROLB,OLB_RunStopper,2,64,85,88,69,67,76,74,62,10,46,21,21,25,35,26,10,26,6,6,6,6,17,6,12,47,29,25,15,5,5,20,45,45,45,45,45,45,20,65,78,85,84,53,42,46,60,60,57,32,26,26,85,91,90,41,Right,Colts,10,Houston,1031,"$3,490,000 ","$30,000 ",21682,StuardGrant_21682
Darrell Baker Jr,CB,CB_MantoMan,1,63,91,93,81,86,57,95,55,57,60,71,65,47,38,70,50,30,18,12,8,21,17,6,17,58,57,59,44,39,36,35,30,24,23,35,26,25,21,52,54,64,74,51,30,35,53,63,64,73,13,14,86,89,78,39,Right,Colts,10,Ga. Southern,0,"$870,000 ",$0 ,22275,BakerJrDarrell_22275
JoJo Domann,MLB,MLB_PassCoverage,1,63,85,90,84,74,65,87,62,47,63,55,46,43,44,60,10,22,6,6,6,6,10,6,15,67,53,56,37,34,28,31,45,45,45,45,45,45,25,64,73,82,73,61,46,52,59,61,70,58,52,55,85,84,89,57,Right,Colts,10,Nebraska,1396,"$2,560,000 ","$20,000 ",22193,DomannJoJo_22193
Will Mallory,TE,TE_VerticalThreat,0,63,87,89,77,73,72,87,64,64,70,72,59,66,64,79,20,27,22,16,11,18,14,13,15,75,76,78,62,57,55,60,52,46,51,52,47,52,48,59,33,26,39,15,10,10,33,10,15,15,17,13,88,92,91,86,Right,Colts,10,Miami,2293,"$3,830,000 ","$280,000 ",22831,MalloryWill_22831
